#HEADER:GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW20,GW21,GW22,GW23,GW24,GW25,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36
zac,9,6,3,2,1,1,3,4,5,4,4,4,4,4,4,4,4,5,5,4,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3
morfin,1,2,5,3,5,6,6,6,6,6,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
sean,6,9,10,7,8,9,9,10,10,10,10,10,8,8,8,8,8,8,8,8,9,9,9,9,9,8,7,7,8,8,9,9,9,9,9,9
aj,10,10,8,10,10,8,8,8,8,7,6,5,5,6,5,5,5,4,4,5,4,4,4,5,5,5,5,6,6,6,6,6,7,8,7,6
katabe,2,1,1,1,4,4,5,5,4,5,5,6,6,7,6,6,6,6,6,6,7,6,6,6,6,6,6,5,5,4,5,5,5,5,5,5
ben,5,8,9,6,6,7,7,7,7,8,7,7,7,5,7,7,7,7,7,7,6,7,7,7,7,7,9,8,7,7,7,8,8,7,8,8
matt,7,4,6,9,9,10,10,9,9,9,8,8,9,9,9,9,9,9,9,9,8,8,8,8,8,9,8,9,9,9,8,7,6,6,6,7
tj,4,5,7,8,7,5,4,3,3,2,3,3,1,3,2,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1
rafa,3,7,4,4,2,2,1,2,2,3,1,1,2,1,3,2,3,3,3,3,3,3,3,4,4,4,4,4,4,5,4,4,4,4,4,4
vu,8,3,2,5,3,3,2,1,1,1,2,2,3,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2
